chart,comparison,correlation,change-over-time,distribution,part-to-whole,geospatial,rank
Area stacked small multiple,,,TRUE,,TRUE,,
Bar chart Split,TRUE,,,,TRUE,,
Bar chart small multiple,TRUE,,,,,,
Bar chart horizontal with reference small multiple,TRUE,,,,,,
Bar chart horizontal stacked small multiple,TRUE,,,,TRUE,,
Bar chart horizontal stacked group,TRUE,,,,TRUE,,
Bar chart horizontal grouped,TRUE,,,,,,
Comet plot,,,TRUE,,,,TRUE
Column small multiple,TRUE,,,,,,
Colum chart stacked small multiple,TRUE,,,,TRUE,,
Dotplot,,,TRUE,,,,
Heatmap,,TRUE,,,,,
Heatmap by column,,TRUE,,,,,
Line chart small multiple,,,TRUE,,,,
A line chart with area shaded,,,TRUE,,,,
Population pyramid,,,,TRUE,,,
Population pyramid with toggle,,,TRUE,TRUE,,,
Population pyramid with a static comparison,,,,TRUE,,,
Population pyramid with dropdown and interactive comparison,,,TRUE,TRUE,,,
Range plot,,,TRUE,,,,
Simple map,,,,,,TRUE,
Other,,,,,,,
